TARIH,BIST Getiri (TL),Aylık % Değişim,Bloomberg Tüketici Güven Endeksi,Aylık % Değişim,İmalat Kapasite Kullanım Oranı,Aylık % Değişim,İşsizlik Oranı,Aylık % Değişim,Reel Döviz Kuru,Aylık % Değişim,Sanayi Üretim Endeksi,Aylık % Değişim,TUIK Tüketici Güven endeksi,Aylık % Değişim,USD Kur,Aylık % Değişim,Enflasyon Oranı,Aylık % Değişim
9/30/2016,"116971,22","0,70%","100,33","6,26%","  93,47    ","-11,39%","11,30","-1,74%","99,63","0,19%","93,47","-11,39%","74,30","-0,13%","2,9959","1,40%","0,18","-162,07%"
10/31/2016,"120102,83","2,68%","82,83","-17,44%","  113,01    ","20,91%","11,70","3,54%","98,16","-1,48%","113,01","20,91%","74,00","-0,40%","3,0998","3,47%","1,44","700,00%"
31.11.2016,"113247,76","-5,71%","69,15","-16,52%","  113,72    ","0,63%","11,80","0,85%","94,84","-3,38%","113,72","0,63%","68,90","-6,89%","3,4199","10,33%","0,52","-63,89%"
12/31/2016,"119600,93","5,61%","68,28","-1,26%","  117,58    ","3,39%","12,70","7,63%","91,78","-3,23%","117,58","3,39%","63,40","-7,98%","3,5318","3,27%","1,64","215,38%"
1/31/2017,"132086,33","10,44%","65,2","-4,51%","96,81","-17,66%","13,00","2,36%","87,68","-4,47%","96,82","-17,66%","66,90","5,52%","3,8324","8,51%","2,46","50,00%"
2/28/2017,"133896,45","1,37%","74,48","14,23%","96,06","-0,77%","12,60","-3,08%","89,07","1,59%","96,07","-0,77%","65,70","-1,79%","3,5882","-6,37%","0,81","-67,07%"
3/31/2017,"136621,51","2,04%","78,44","5,32%","113,27","17,92%","11,70","-7,14%","89,70","0,71%","113,28","17,91%","67,80","3,20%","3,6654","2,15%","1,02","25,93%"
4/30/2017,"147877,80","8,24%","77,16","-1,63%","109,99","-2,90%","10,52","-10,09%","90,56","0,96%","109,99","-2,90%","71,30","5,16%","3,6538","-0,32%","1,31","28,43%"
5/31/2017,"152633,05","3,22%","78,56","1,81%","113,51","3,20%","10,20","-3,04%","91,84","1,41%","113,51","3,20%","72,80","2,10%","3,5639","-2,46%","0,45","-65,65%"
6/30/2017,"157688,11","3,31%","81,33","3,53%","104,94","-7,55%","10,20","0,00%","91,75","-0,10%","104,94","-7,55%","70,00","-3,85%","3,5190","-1,26%","-0,27","-160,00%"
7/31/2017,"168820,82","7,06%","80,58","-0,92%","112,37","7,08%","10,70","4,90%","89,59","-2,35%","112,38","7,09%","71,30","1,86%","3,5599","1,16%","0,15","-155,56%"
8/31/2017,"172712,85","2,31%","78,53","-2,54%","113,66","1,15%","10,60","-3,74%","89,69","0,11%","113,67","1,15%","71,10","-0,28%","3,5125","-1,33%","0,52","246,67%"
9/30/2017,"161865,17","-6,28%","76,01","-3,21%","110,33","-2,93%","10,60","-6,80%","90,48","0,88%","110,33","-2,94%","68,70","-3,38%","3,4361","-2,18%","0,65","25,00%"
10/31/2017,"173289,20","7,06%","59,43","-21,81%","125,74","13,97%","10,30","8,33%","88,17","-2,55%","125,75","13,98%","67,3","-2,04%","3,6623","0,0658","2,08","220,00%"
31.11.2017,"163674,20","-5,55%","57,32","-3,55%","124,78","-0,76%","9,60","3,85%","84,41","-4,26%","124,79","-0,76%","65,2","-3,12%","3,8791","0,0592","1,49","-28,37%"
12/31/2017,"181873,54","11,12%","69,15","20,64%","129,99","4,18%","10,40","-1,85%","85,17","0,90%","130,00","4,18%","65,1","-0,15%","3,8477","-0,0081","0,69","-53,69%"
1/31/2018,"188490,04","3,64%","87,50","26,54%","109,33","-15,89%","10,80","-4,72%","85,86","0,81%","109,33","-15,90%","72,3","11,06%","3,7723","-0,0196","1,02","47,83%"
2/28/2018,"187578,53","-0,48%","87,03","-0,54%","105,87","-3,16%","10,60","-4,95%","85,16","-0,82%","105,87","-3,16%","72,3","0,00%","3,7780","0,0015","0,73","-28,43%"
3/31/2018,"183239,11","-2,31%","82,80","-4,86%","121,14","14,42%","10,10","1,04%","83,81","-1,59%","121,14","14,42%","71,3","-1,38%","3,8809","0,0272","0,99","35,62%"
4/30/2018,"167555,26","-8,56%","74,29","-10,28%","115,67","-4,52%","9,60","5,15%","81,93","-2,24%","115,67","-4,52%","71,9","0,84%","4,0540","0,0446","1,87","88,89%"
5/31/2018,"163290,39","-2,55%","69,65","-6,25%","121,50","5,04%","9,70","5,88%","78,20","-4,55%","121,50","5,04%","69,9","-2,78%","4,4141","0,0888","1,62","-13,37%"
6/30/2018,"156918,83","-3,90%","79,65","14,36%","107,59","-11,45%","10,20","2,78%","77,08","-1,43%","107,59","-11,45%","70,3","0,57%","4,6282","0,0485","2,61","61,11%"
7/31/2018,"156329,76","-0,38%","83,92","5,36%","121,47","12,90%","10,80","2,70%","75,99","-1,41%","121,47","12,90%","73,1","3,98%","4,7480","0,0259","0,55","-78,93%"
8/31/2018,"150822,7","-3,52%","60,62","-27,76%","101,38","-16,54%","11,10","1,75%","64,98","-14,49%","101,38","-16,54%","68,3","-6,57%","5,7302","0,2069","2,30","318,18%"
9/30/2018,"162793,49","7,94%","57,60","-4,98%","115,59","14,02%","11,40","2,70%","61,72","-5,02%","115,59","14,02%","59,3","-13,18%","6,3669","0,1111","6,30","173,91%"
10/31/2018,"146904,19","-9,76%","62,42","8,37%","120,47","4,22%","11,60","1,75%","69,11","11,97%","120,47","4,22%","57,3","-3,37%","5,8594","-0,0797","2,67","-57,62%"
31.11.2018,"155538,14","5,88%","72,64","16,37%","116,7","-3,13%","12,30","6,03%","74,59","7,93%","116,7","-3,13%","59,6","4,01%","5,3735","-0,0829","-1,44","-153,93%"
12/31/2018,"149012,14","-4,20%","72,21","-0,59%","74,1","-36,50%","13,50","9,76%","75,00","0,55%","117,3","0,51%","58,2","-2,35%","5,3061","-0,0125","-0,40","-72,22%"
